Index,Stock Value,Weighted Average,Sigma,Portfolio Value
0,4.16,4.16,0,100
1,4.12,4.1588,0.0274357,100
2,4.16,4.15884,0.0224112,100.097
3,4.195,4.15992,0.0261599,100.182
4,4.1801,4.16053,0.024982,100.146
5,4.21,4.16201,0.0300652,100.218
6,4.215,4.1636,0.0339442,100.231
7,4.18,4.16409,0.0322462,100.146
8,4.135,4.16322,0.0318239,100.036
9,4.125,4.16207,0.0323871,99.9904
10,4.165,4.16216,0.0308917,100.253
11,4.18,4.1627,0.0299954,100.352
12,4.205,4.16396,0.0309846,100.516
13,4.195,4.1649,0.0309226,100.45
14,4.17,4.16505,0.0299014,100.286
15,4.16,4.1649,0.0289778,100.22
16,4.2,4.16595,0.0293004,100.483
17,4.205,4.16712,0.0298417,100.516
18,4.2,4.16811,0.029953,100.483
19,4.16,4.16787,0.0292475,100.22
20,4.14,4.16703,0.0291457,100.089
21,4.2,4.16802,0.0292806,100.589
22,4.235,4.17003,0.0316799,100.88
23,4.275,4.17318,0.0373336,101.213
24,4.255,4.17563,0.039875,101.047
25,4.28,4.17876,0.0438527,101.255
26,4.25,4.1809,0.0450409,101.005
27,4.255,4.18312,0.0462681,101.047
28,4.3,4.18663,0.0501012,101.421
29,4.1911,4.18676,0.0492654,100.514
30,4.24,4.18836,0.0493438,100.922
31,4.244,4.19003,0.0494949,100.955
32,4.22,4.19093,0.0490013,100.755
33,4.23,4.1921,0.0487109,100.838
34,4.23,4.19324,0.0484104,100.838
35,4.21,4.19374,0.0478102,100.672
36,4.29,4.19663,0.049595,101.338
37,4.34,4.20093,0.0538878,101.755
38,4.37,4.206,0.0593217,102.004
39,4.35,4.21032,0.0626006,101.838
40,4.36,4.21481,0.0658589,101.921
41,4.36,4.21917,0.0686029,101.921
42,4.37,4.22369,0.0713773,102.004
43,4.37,4.22808,0.0737338,102.004
44,4.35,4.23174,0.075011,101.838
45,4.31,4.23409,0.0750307,101.505
46,4.285,4.23561,0.0745769,101.296
47,4.305,4.2377,0.0744326,101.463
48,4.325,4.24032,0.0746559,101.63
49,4.3,4.24211,0.0743577,101.421
50,4.24,4.24204,0.0736257,100.922
51,4.25,4.24228,0.0729222,101.005
52,4.23,4.24191,0.0722495,100.838
53,4.235,4.24171,0.0715832,100.88
54,4.225,4.2412,0.0709631,100.797
55,4.225,4.24072,0.070358,100.797
56,4.2,4.2395,0.069934,100.589
57,4.26,4.24011,0.0693777,101.182
58,4.19,4.23861,0.0690777,100.49
59,4.21,4.23775,0.0685933,100.716
60,4.215,4.23707,0.0680874,100.778
61,4.195,4.23581,0.0677346,100.527
62,4.185,4.23428,0.0674811,100.39
63,4.18,4.23265,0.0672746,100.317
64,4.23,4.23257,0.0667558,101.099
65,4.23,4.2325,0.0662489,101.099
66,4.215,4.23197,0.0657853,100.865
67,4.215,4.23146,0.0653303,100.865
68,4.21,4.23082,0.0649036,100.786
69,4.25,4.23139,0.0644767,101.413
70,4.24,4.23165,0.0640287,101.256
71,4.305,4.23385,0.064133,102.274
72,4.255,4.23449,0.0637374,101.491
73,4.275,4.2357,0.0634699,101.804
74,4.2785,4.23699,0.0632273,101.859
75,4.26,4.23768,0.0628622,101.569
76,4.27,4.23865,0.0625548,101.726
77,4.29,4.24019,0.0624079,102.039
78,4.285,4.24153,0.0622042,101.961
79,4.275,4.24254,0.0619206,101.804
80,4.24,4.24246,0.0615378,101.256
81,4.2,4.24119,0.0613303,100.63
82,4.1225,4.23762,0.0622557,99.3519
83,4.155,4.23515,0.0624988,99.9125
84,4.15,4.23259,0.0627726,99.8229
85,4.19,4.23131,0.0625654,100.565
86,4.18,4.22977,0.0624333,100.374
87,4.2099,4.22918,0.0621115,100.959
88,4.185,4.22785,0.0619284,100.472
89,4.205,4.22717,0.0616277,100.872
90,4.2118,4.22671,0.0613081,101.008
91,4.25,4.22741,0.0610195,101.773
92,4.16,4.22538,0.0610681,99.971
93,4.16,4.22342,0.0610936,99.971
94,4.175,4.22197,0.0609619,100.283
95,4.185,4.22086,0.0607539,100.494
96,4.18,4.21963,0.0605738,100.387
97,4.175,4.2183,0.0604224,100.279
98,4.21,4.21805,0.0601219,101.045
99,4.155,4.21615,0.0601323,99.8406
100,4.175,4.21492,0.0599656,100.283
101,4.185,4.21402,0.0597401,100.506
102,4.185,4.21315,0.0595141,100.506
103,4.18,4.21216,0.0593111,100.393
104,4.17,4.21089,0.0591628,100.165
105,4.15,4.20907,0.0591619,99.7072
106,4.1369,4.2069,0.0592723,99.4058
107,4.115,4.20414,0.0596176,98.8998
108,4.13,4.20192,0.059742,99.2478
109,4.165,4.20081,0.0595678,100.063
110,4.195,4.20064,0.0593013,100.763
111,4.195,4.20047,0.0590382,100.763
112,4.19,4.20015,0.0587841,100.647
113,4.15,4.19865,0.0587028,99.7123
114,4.12,4.19629,0.0588784,99.0096
115,4.135,4.19445,0.0588834,99.3619
116,4.13,4.19252,0.0589154,99.2442
117,4.135,4.19079,0.0588896,99.3621
118,4.125,4.18882,0.0589328,99.1258
119,4.07,4.18525,0.0596223,97.8238
120,4.075,4.18195,0.0601662,97.9424
121,4.085,4.17904,0.0605209,98.1798
122,4.09,4.17637,0.0607754,98.2986
123,4.0887,4.17374,0.0610097,98.2677
124,4.07,4.17062,0.061428,97.8223
125,4.09,4.16821,0.0615792,98.2991
126,4.1,4.16616,0.0616166,98.5377
127,4.0788,4.16354,0.0618308,98.0315
128,4.07,4.16073,0.0621066,97.8212
129,4.095,4.15876,0.0621195,98.4189
130,4.1,4.157,0.062082,98.5385
131,4.085,4.15484,0.0621444,98.1795
132,4.095,4.15304,0.0621145,98.419
133,4.07,4.15055,0.0622723,97.8202
134,4.0713,4.14817,0.0623931,97.8513
135,4.1,4.14673,0.0622923,98.5392
136,4.1082,4.14557,0.0621466,98.7358
137,4.125,4.14496,0.0619443,99.1386
138,4.135,4.14466,0.0617265,99.3784
139,4.13,4.14422,0.0615174,99.2585
140,4.12,4.14349,0.0613308,99.0187
141,4.09,4.14189,0.0612694,98.2993
