Index,Stock Value,Weighted Average,Sigma
0,2.1288,2.1288,0
1,2.12517,2.12877,1.70657e-06
2,2.10701,2.12855,1.03627e-05
3,2.04434,2.12771,4.08904e-05
4,2.05252,2.12696,5.38946e-05
5,2.05615,2.12625,6.31206e-05
6,2.01619,2.12515,8.13948e-05
7,1.99121,2.12381,0.000102632
8,1.98259,2.1224,0.000121871
9,2.03027,2.12148,0.000128799
10,2.0675,2.12094,0.000130655
11,2.04525,2.12018,0.000134811
12,2.08339,2.11981,0.000135252
13,2.0893,2.11951,0.000135342
14,2.11246,2.11944,0.000134705
15,2.10247,2.11927,0.000134268
16,2.10292,2.1191,0.000133818
17,2.10201,2.11893,0.000133391
18,2.1288,2.11903,0.000132804
19,2.14107,2.11925,0.000132547
20,2.15242,2.11958,0.000132808
21,2.17421,2.12013,0.000134632
22,2.17104,2.12064,0.000136091
23,2.17058,2.12114,0.000137442
24,2.13471,2.12127,0.000136902
25,2.11427,2.1212,0.000136256
26,2.13062,2.1213,0.000135646
27,2.15242,2.12161,0.000135761
28,2.14197,2.12181,0.000135421
29,2.18466,2.12244,0.000137958
30,2.18875,2.1231,0.000140776
31,2.21508,2.12402,0.000146614
32,2.18511,2.12463,0.000148687
33,2.17104,2.1251,0.000149544
34,2.12699,2.12512,0.000148797
35,2.12699,2.12514,0.000148054
36,2.1565,2.12545,0.00014805
37,2.1724,2.12592,0.000148954
38,2.18875,2.12655,0.000151124
39,2.22416,2.12752,0.000157215
40,2.20237,2.12827,0.000160332
41,2.21145,2.1291,0.000164244
42,2.24732,2.13029,0.000172592
43,2.26957,2.13168,0.000183746
44,2.29682,2.13333,0.000198549
45,2.29183,2.13491,0.000211053
46,2.31135,2.13668,0.000225659
47,2.32861,2.1386,0.000241814
48,2.32043,2.14042,0.000255172
49,2.34314,2.14244,0.000270967
50,2.37175,2.14474,0.000290055
51,2.39309,2.14722,0.00031094
52,2.33814,2.14913,0.000321894
53,2.31862,2.15082,0.00032984
54,2.31771,2.15249,0.000337227
55,2.30454,2.15401,0.000342886
56,2.17966,2.15427,0.000341375
57,2.17966,2.15452,0.000339868
58,2.18193,2.1548,0.000338404
59,2.20555,2.15531,0.00033753
60,2.20918,2.15584,0.000336767
61,2.18693,2.15616,0.000335389
62,2.18965,2.15649,0.000334069
63,2.17694,2.15669,0.00033253
64,2.19238,2.15705,0.000331276
65,2.23143,2.1578,0.000331414
66,2.24006,2.15862,0.000331948
67,2.24551,2.15949,0.000332727
68,2.21599,2.16005,0.000332091
69,2.24324,2.16088,0.000332663
70,2.25277,2.1618,0.000333714
71,2.27729,2.16296,0.00033631
72,2.27593,2.16409,0.000338674
73,2.24505,2.1649,0.000339046
74,2.23461,2.16559,0.000338879
75,2.21917,2.16613,0.000338087
76,2.21281,2.1666,0.000337081
77,2.17512,2.16668,0.000335415
78,2.18284,2.16684,0.000333817
79,2.21962,2.16737,0.000333035
80,2.25232,2.16822,0.000333675
81,2.24324,2.16897,0.0003338
82,2.22008,2.16948,0.000332961
83,2.2673,2.17046,0.000334345
84,2.2446,2.1712,0.000334418
85,2.19783,2.17147,0.000332967
86,2.22326,2.17199,0.000332155
87,2.26594,2.17293,0.000333308
88,2.25141,2.17371,0.000333598
89,2.24278,2.1744,0.000333443
90,2.22598,2.17492,0.000332618
91,2.20373,2.1752,0.000331216
92,2.20055,2.17546,0.000329761
93,2.23643,2.17607,0.000329303
94,2.2228,2.17654,0.000328355
95,2.18647,2.17663,0.000326741
96,2.15151,2.17638,0.000325308
97,2.1615,2.17623,0.00032375
98,2.15514,2.17602,0.000322273
99,2.15378,2.1758,0.00032082
100,2.17921,2.17584,0.000319216
101,2.19601,2.17604,0.000317751
102,2.23143,2.17659,0.000317181
103,2.21145,2.17694,0.000315998
104,2.19874,2.17716,0.000314573
105,2.19737,2.17736,0.000313134
106,2.20736,2.17766,0.000311869
107,2.17785,2.17766,0.000310306
108,2.13516,2.17724,0.000309366
109,2.14334,2.1769,0.000308209
110,2.16377,2.17677,0.000306724
111,2.14334,2.17643,0.000305572
112,2.11609,2.17583,0.000305303
113,2.16877,2.17576,0.00030379
114,2.16831,2.17568,0.000302286
115,2.18647,2.17579,0.000300812
116,2.23688,2.1764,0.000300618
117,2.27048,2.17734,0.000302217
118,2.31362,2.17871,0.000307143
119,2.35858,2.1805,0.00031655
120,2.32497,2.18195,0.000321852
121,2.33042,2.18343,0.000327383
122,2.3386,2.18499,0.000333398
123,2.33678,2.1865,0.000338919
124,2.33905,2.18803,0.000344356
125,2.37629,2.18991,0.000353259
126,2.39445,2.19196,0.000363675
127,2.40853,2.19412,0.000375086
128,2.40444,2.19623,0.000385307
129,2.47979,2.19906,0.000404507
130,2.4558,2.20163,0.000419052
131,2.43229,2.20394,0.000429898
132,2.44572,2.20635,0.000441573
133,2.45388,2.20883,0.000453441
134,2.49706,2.21171,0.000469637
135,2.49706,2.21456,0.000484745
136,2.52393,2.21766,0.000502112
137,2.54793,2.22096,0.000521288
138,2.54505,2.2242,0.000538782
139,2.56232,2.22758,0.000557187
140,2.58583,2.23117,0.000577214
141,2.58727,2.23473,0.000596052
142,2.58631,2.23824,0.000613546
143,2.5724,2.24158,0.000628434
144,2.59111,2.24508,0.000644404
145,2.59111,2.24854,0.000659411
146,2.58775,2.25193,0.000673201
147,2.59591,2.25537,0.000686996
148,2.52058,2.25802,0.000693581
149,2.53545,2.2608,0.000700943
150,2.52393,2.26343,0.000707063
151,2.54937,2.26629,0.000714757
152,2.52729,2.2689,0.000720429
153,2.52106,2.27142,0.000725372
154,2.55177,2.27422,0.000732201
155,2.55464,2.27703,0.000738879
156,2.54025,2.27966,0.000744198
157,2.54505,2.28231,0.000749552
158,2.59111,2.2854,0.000757952
159,2.59063,2.28845,0.000765872
160,2.63046,2.29187,0.000776528
161,2.67796,2.29574,0.000790757
